Interaction_ID,Agent_Name,Competence_Score
1,safety_agent_competence,0.510983
1,economic_agent_competence,0.497821
1,weather_agent_competence,0.511043
1,flight_info_agent_competence,0.547038
1,integration_agent_competence,0.496241
2,safety_agent_competence,0.497411
2,economic_agent_competence,0.542030
2,weather_agent_competence,0.514162
2,flight_info_agent_competence,0.488604
2,integration_agent_competence,0.512697
3,safety_agent_competence,0.493868
3,economic_agent_competence,0.492174
3,weather_agent_competence,0.507599
3,flight_info_agent_competence,0.446624
3,integration_agent_competence,0.468266
4,safety_agent_competence,0.492929
4,economic_agent_competence,0.479758
4,weather_agent_competence,0.509997
4,flight_info_agent_competence,0.478111
4,integration_agent_competence,0.475435
5,safety_agent_competence,0.534524
5,economic_agent_competence,0.500692
5,weather_agent_competence,0.507605
5,flight_info_agent_competence,0.463932
5,integration_agent_competence,0.493709
6,safety_agent_competence,0.508462
6,economic_agent_competence,0.478814
6,weather_agent_competence,0.513532
6,flight_info_agent_competence,0.489972
6,integration_agent_competence,0.499675
7,safety_agent_competence,0.495239
7,economic_agent_competence,0.555143
7,weather_agent_competence,0.508994
7,flight_info_agent_competence,0.477571
7,integration_agent_competence,0.522870
8,safety_agent_competence,0.483883
8,economic_agent_competence,0.515299
8,weather_agent_competence,0.481097
8,flight_info_agent_competence,0.470762
8,integration_agent_competence,0.511264
9,safety_agent_competence,0.524093
9,economic_agent_competence,0.515599
9,weather_agent_competence,0.510049
9,flight_info_agent_competence,0.502874
9,integration_agent_competence,0.478662
10,safety_agent_competence,0.495947
10,economic_agent_competence,0.501031
10,weather_agent_competence,0.528927
10,flight_info_agent_competence,0.523509
10,integration_agent_competence,0.473875
11,safety_agent_competence,0.517843
11,economic_agent_competence,0.504148
11,weather_agent_competence,0.504198
11,flight_info_agent_competence,0.532839
11,integration_agent_competence,0.530656
12,safety_agent_competence,0.531001
12,economic_agent_competence,0.494017
12,weather_agent_competence,0.510991
12,flight_info_agent_competence,0.525708
12,integration_agent_competence,0.530446
13,safety_agent_competence,0.503804
13,economic_agent_competence,0.511573
13,weather_agent_competence,0.500308
